Celsius,Fahrenheit,Humidity
9.4,48.92,86.14128459
13.3,55.94,74.68874076
2.8,37.04,85.44168274
3.3,37.94,78.96964873
2.2,35.96,89.16280483
2.2,35.96,89.16280483
3.9,39.02,81.95944063
6.1,42.98,73.41010137
8.3,46.94,68.29797977
11.1,51.98,56.6056287
12.8,55.04,52.42982773
16.7,62.06,39.35842266
17.2,62.96,42.67841285
17.2,62.96,46.3973983
17.2,62.96,46.3973983
15.6,60.08,53.1779608
12.8,55.04,63.74581526
12.8,55.04,63.74581526
12.2,53.96,69.10102293
11.7,53.06,73.90507595
12.2,53.96,77.07339089
12.2,53.96,83.01508547
10,50,89.18120496
10,50,96.05630771
7.8,46.04,95.98815841
8.3,46.94,96.6598768
7.8,46.04,95.98815841
9.4,48.92,96.68846429
13.3,55.94,100
13.9,57.02,96.17295069
15,59,100
15.6,60.08,96.22219213
15.6,60.08,96.22219213
16.1,60.98,96.85496015
16.1,60.98,96.85496015
16.7,62.06,93.22634026
17.8,64.04,86.96293551
18.9,66.02,81.16773558
19.4,66.92,78.67784341
20,68,78.26386706
18.3,64.94,84.27309677
18.9,66.02,78.10137447
18.3,64.94,81.08942109
18.3,64.94,81.08942109
17.8,64.04,83.67764289
17.8,64.04,83.67764289
17.2,62.96,86.90663526
15.6,60.08,92.57048407
15.6,60.08,89.62111213
18.3,64.94,75.52648656
18.3,64.94,72.63605068
17.8,64.04,74.95445679
17.2,62.96,80.94462547
17.8,64.04,80.50201036
17.8,64.04,80.50201036
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.2,62.96,83.60845992
17.8,64.04,83.67764289
18.9,66.02,81.16773558
19.4,66.92,78.67784341
20.6,69.08,73.04449468
21.1,69.98,70.83212646
20,68,75.80243725
21.1,69.98,70.83212646
20.6,69.08,73.04449468
20,68,75.80243725
19.4,66.92,78.67784341
18.3,64.94,84.27309677
17.8,64.04,80.50201036
17.8,64.04,80.50201036
10.6,51.08,85.68048119
8.3,46.94,79.71241189
8,46.4,87.19415401
7.8,46.04,85.9762523
7.8,46.04,89.00086967
7.8,46.04,92.75424031
7.8,46.04,92.75424031
7.2,44.96,85.91362684
7.2,44.96,89.56964455
7.2,44.96,92.72067632
7.2,44.96,92.72067632
7.2,44.96,89.56964455
6.7,44.06,82.32588031
6.7,44.06,70.43950598
8.9,48.02,58.08823274
9.4,48.92,51.87700461
10,50,45.99379467
10.6,51.08,35.91512424
10.6,51.08,40.75570057
11.1,51.98,31.98148749
